Step	Time	I	E
11	760.0	0.0	3.9626
11	770.0	0.0	3.9629
11	780.0	0.0	3.9629
11	790.0	0.0	3.9626
11	800.0	0.0	3.9629
11	810.0	0.0	3.9626
11	820.0	0.0	3.9629
11	830.0	0.0	3.9629
11	840.0	0.0	3.9629
11	850.0	0.0	3.9629
11	860.0	0.0	3.9629
11	870.0	0.0	3.9629
11	880.0	0.0	3.9629
11	890.0	0.0	3.9629
11	900.0	0.0	3.9629
11	910.0	0.0	3.9629
11	920.0	0.0	3.9629
11	930.0	0.0	3.9629
11	940.0	0.0	3.9629
11	950.0	0.0	3.9629
11	960.0	0.0	3.9629
11	970.0	0.0	3.9629
11	980.0	0.0	3.9629
11	990.0	0.0	3.9629
11	1000.0	0.0	3.9629
11	1010.0	0.0	3.9629
11	1020.0	0.0	3.9629
11	1030.0	0.0	3.9629
11	1040.0	0.0	3.9629
11	1050.0	0.0	3.9629
11	1060.0	0.0	3.9629
11	1070.0	0.0	3.9629
11	1080.0	0.0	3.9629
11	1090.0	0.0	3.9629
11	1100.0	0.0	3.9629
11	1110.0	0.0	3.9629
11	1120.0	0.0	3.9629
11	1130.0	0.0	3.9629
11	1140.0	0.0	3.9629
11	1150.0	0.0	3.9629
11	1160.0	0.0	3.9629
11	1170.0	0.0	3.9629
11	1180.0	0.0	3.9629
11	1190.0	0.0	3.9629
11	1200.0	0.0	3.9629
11	1210.0	0.0	3.9629
11	1220.0	0.0	3.9632
11	1230.0	0.0	3.9629
11	1240.0	0.0	3.9629
11	1250.0	0.0	3.9629
11	1260.0	0.0	3.9629
11	1270.0	0.0	3.9629
11	1280.0	0.0	3.9629
11	1290.0	0.0	3.9632
11	1300.0	0.0	3.9629
11	1310.0	0.0	3.9629
11	1320.0	0.0	3.9629
11	1330.0	0.0	3.9629
11	1340.0	0.0	3.9629
11	1350.0	0.0	3.9629
11	1360.0	0.0	3.9632
11	1370.0	0.0	3.9629
11	1380.0	0.0	3.9632
11	1390.0	0.0	3.9629
11	1400.0	0.0	3.9629
11	1410.0	0.0	3.9632
11	1420.0	0.0	3.9629
11	1430.0	0.0	3.9629
11	1440.0	0.0	3.9632
11	1450.0	0.0	3.9632
11	1460.0	0.0	3.9629
11	1470.0	0.0	3.9629
11	1480.0	0.0	3.9632
